candidate_id,name,party,city,1270,1275,1277,1278,1279,1280,1281,1285,1287,1288,1289,1290,1292,1293,1294,1295,1298,1299,1300,1301,1304,1305,1306,1307,1308
72,Tina Cartey Hansen,Det Konservative Folkeparti,Hvidovre,2.0,1.0,4.0,4.0,4.0,2.0,2.0,1.0,5.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,5.0,2.0,2.0,2.0,4.0
73,Tobias Bennedsen,Det Konservative Folkeparti,"Barløse, Assens",2.0,1.0,4.0,4.0,5.0,4.0,2.0,1.0,5.0,2.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,2.0,4.0,2.0,5.0,4.0,1.0,4.0,5.0
74,Viktor Thyregod Sivertsen,Det Konservative Folkeparti,Århus,2.0,5.0,4.0,5.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,5.0,1.0,1.0,2.0,5.0
75,Vilhelm Møller,Det Konservative Folkeparti,Faxe,1.0,1.0,4.0,5.0,4.0,5.0,2.0,1.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,2.0,1.0,2.0,5.0
77,Katrine Daugaard,Liberal Alliance,Odense,1.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,5.0,2.0,1.0,4.0,5.0
78,Malte Jäger,Liberal Alliance,Kerteminde,1.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,1.0,1.0,1.0,5.0
83,Thomas Estrup,Liberal Alliance,Søby Ærø,1.0,2.0,4.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,4.0,5.0,2.0,4.0,4.0,5.0,2.0,1.0,4.0,5.0
84,Sólbjørg Jakobsen,Liberal Alliance,Vestbjerg,1.0,2.0,2.0,5.0,4.0,5.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,2.0,2.0,2.0,5.0
85,HP Beck,Liberal Alliance,Aalborg,1.0,1.0,4.0,5.0,4.0,5.0,2.0,1.0,2.0,5.0,2.0,1.0,2.0,4.0,5.0,5.0,5.0,2.0,5.0,2.0,5.0,2.0,2.0,2.0,5.0
86,Kenneth Skatka Hammer,Liberal Alliance,Aalborg,1.0,1.0,4.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,2.0,2.0,1.0,4.0,5.0,5.0,4.0,1.0,5.0,4.0,5.0,1.0,1.0,2.0,5.0
87,Anders Peter Hansen,Liberal Alliance,Rødovre,1.0,1.0,2.0,5.0,4.0,5.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,4.0,5.0,5.0,4.0,2.0,4.0,5.0,5.0,2.0,1.0,2.0,5.0
88,Kim Gaarsdahl,Liberal Alliance,Hobro,1.0,2.0,4.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,1.0,4.0,5.0
91,Kresten Solvang Larsen,Liberal Alliance,Aabybro,1.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,1.0,1.0,2.0,5.0
94,Frederik Blicher Pedersen,Liberal Alliance,Aalborg,5.0,1.0,2.0,5.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,4.0,5.0,5.0,0.0,5.0,4.0,5.0,1.0,1.0,2.0,5.0
95,Dan Gaardboe Rueskov,Liberal Alliance,Hirtshals ,1.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,5.0,1.0,5.0,1.0,4.0,4.0,5.0,1.0,1.0,1.0,5.0
100,Lukas Vestergaard,Liberal Alliance,Dronninglund,1.0,2.0,2.0,5.0,4.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0
102,Christopher Arzrouni,Liberal Alliance,Ålsgårde,1.0,1.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,1.0,4.0,5.0
103,Chelle Lilly Albøge,Liberal Alliance,Frederikssund,1.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,1.0,4.0,5.0
104,Philip Solberg,Liberal Alliance,Helsingør,1.0,2.0,2.0,5.0,4.0,5.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,1.0,1.0,5.0,5.0
105,Lars Høyer Holmqvist,Liberal Alliance,Rudersdal ,1.0,2.0,4.0,5.0,4.0,5.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,2.0,2.0,1.0,5.0
106,Sten Schmidl Søbjærg,Liberal Alliance,Helsinge,2.0,1.0,4.0,5.0,5.0,4.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,1.0,4.0,5.0
108,Robert Mørck,Liberal Alliance,Værløse,2.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0
109,Steffen Sjørslev,Liberal Alliance,København,1.0,1.0,2.0,5.0,4.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,1.0,2.0,5.0
111,Kira Danholm,Liberal Alliance,Snekkersten,1.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,1.0,1.0,1.0,5.0
112,Steen Tofteng,Liberal Alliance,Helsinge,1.0,1.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,2.0,4.0,5.0
113,Ole Birk Olesen,Liberal Alliance,København,1.0,1.0,4.0,5.0,4.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,1.0,4.0,5.0
114,Mads Strange,Liberal Alliance,København,1.0,1.0,4.0,5.0,4.0,5.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,5.0,1.0,1.0,2.0,5.0
115,Alexander Ryle,Liberal Alliance,København,1.0,1.0,4.0,5.0,4.0,4.0,2.0,1.0,2.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,4.0,4.0
116,Merete Riisager,Liberal Alliance,København S,2.0,2.0,4.0,5.0,5.0,4.0,1.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,2.0,1.0,1.0,5.0
117,Per Nørgaard Andersen,Liberal Alliance,Kastrup,1.0,1.0,4.0,5.0,2.0,5.0,2.0,1.0,1.0,5.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,2.0,5.0,1.0,2.0,4.0,4.0
118,Charlotte Nellemann,Liberal Alliance,Tårnby kommune,1.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,2.0,4.0,5.0
119,Line Østergaard Olsen,Liberal Alliance,Frederiksberg ,1.0,1.0,2.0,5.0,2.0,5.0,1.0,1.0,4.0,5.0,1.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,2.0,5.0
120,Laura Emilie Fabricius-Lauritzen,Liberal Alliance,København N,1.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,5.0,5.0,4.0,5.0,4.0,2.0,5.0,5.0,2.0,1.0,4.0,5.0
